q0_0, q0_1, q0_2, q0_3, q0_4, q0_5, q0_6, q1_0, q1_1, q1_2, q1_3, q1_4, q1_5, q1_6, x, x_prec, y, y_prec, z, z_prec
0.896708, 0.371994, 0.128589, 0.404364, 0.193497, 0.507214, 0, 0.278554, 0.275837, 0.128589, 0.404364, 0.385812, 0.507214, 0, -0.00398914, 0.0282817, 0.409391, 0.0282817, 0.00372924, 0.0282817
0.653044, 0.334091, 0.128589, 0.404364, 0.269304, 0.507214, 0, 0.330346, 0.283893, 0.128589, 0.404364, 0.369699, 0.507214, 0, 0.00318327, 0.0276508, 0.388359, 0.0276508, -0.00926904, 0.0276508
0.104051, 0.366993, 0.128589, 0.404364, 0.203498, 0.507214, 0, 0.419267, 0.31796, 0.128589, 0.404364, 0.301565, 0.507214, 0, 0.00115073, 0.0160681, -0.00113705, 0.0160681, -0.00226843, 0.0160681
0.85871, 0.366083, 0.128589, 0.404364, 0.205319, 0.507214, 0, 0.225806, 0.267631, 0.128589, 0.404364, 0.402222, 0.507214, 0, -0.0210869, 0.0295852, 0.452839, 0.0295852, -0.00782131, 0.0295852
0.0338372, 0.377915, 0.128589, 0.404364, 0.181654, 0.507214, 0, 0.642814, 0.283186, 0.128589, 0.404364, 0.371114, 0.507214, 0, -0.012208, 0.0265751, -0.352505, 0.0265751, -0.00933697, 0.0265751
0.296592, 0.337042, 0.128589, 0.404364, 0.2634, 0.507214, 0, 0.690621, 0.275749, 0.128589, 0.404364, 0.385987, 0.507214, 0, -0.0207351, 0.0289916, -0.433053, 0.0289916, 0.00560486, 0.0289916
0.205662, 0.351187, 0.128589, 0.404364, 0.235111, 0.507214, 0, 0.677298, 0.277822, 0.128589, 0.404364, 0.381842, 0.507214, 0, -0.0205813, 0.0284037, -0.413457, 0.0284037, -0.00537395, 0.0284037
0.946857, 0.379795, 0.128589, 0.404364, 0.177895, 0.507214, 0, 0.759096, 0.350588, 0.128589, 0.404364, 0.23631, 0.507214, 0, -0.00123478, 0.0161184, -0.00149378, 0.0161184, -0.00394694, 0.0161184
0.189457, 0.353708, 0.128589, 0.404364, 0.230069, 0.507214, 0, 0.6313, 0.284977, 0.128589, 0.404364, 0.367531, 0.507214, 0, -0.0130764, 0.0258622, -0.328741, 0.0258622, 0.00295104, 0.0258622
0.197821, 0.352407, 0.128589, 0.404364, 0.232671, 0.507214, 0, 0.464982, 0.310848, 0.128589, 0.404364, 0.315788, 0.507214, 0, 0.0029146, 0.0163547, -0.0118235, 0.0163547, 0.008275, 0.0163547
0.729911, 0.346048, 0.128589, 0.404364, 0.245389, 0.507214, 0, 0.438034, 0.300645, 0.128589, 0.404364, 0.336196, 0.507214, 0, 0.007986, 0.0214632, 0.182107, 0.0214632, 0.00236067, 0.0214632
0.891144, 0.371128, 0.128589, 0.404364, 0.195228, 0.507214, 0, 0.445557, 0.301815, 0.128589, 0.404364, 0.333855, 0.507214, 0, 0.00679068, 0.0215161, 0.183871, 0.0215161, 0.00615132, 0.0215161
0.285462, 0.338774, 0.128589, 0.404364, 0.259937, 0.507214, 0, 0.293269, 0.337559, 0.128589, 0.404364, 0.262366, 0.507214, 0, -4.31431e-05, 0.0162657, -0.00493452, 0.0162657, 0.00885545, 0.0162657
0.979264, 0.384836, 0.128589, 0.404364, 0.167813, 0.507214, 0, 0.198408, 0.26337, 0.128589, 0.404364, 0.410746, 0.507214, 0, -0.000710679, 0.0299176, 0.46392, 0.0299176, -0.00547356, 0.0299176
0.210879, 0.350376, 0.128589, 0.404364, 0.236734, 0.507214, 0, 0.751967, 0.266206, 0.128589, 0.404364, 0.405072, 0.507214, 0, -0.0211146, 0.03073, -0.490999, 0.03073, 0.00459387, 0.03073
0.0285167, 0.378743, 0.128589, 0.404364, 0.179999, 0.507214, 0, 0.804521, 0.258031, 0.128589, 0.404364, 0.421422, 0.507214, 0, -0.0268222, 0.0334036, -0.58012, 0.0334036, -0.209526, 0.0334036
0.351662, 0.328476, 0.128589, 0.404364, 0.280533, 0.507214, 0, 0.72823, 0.269899, 0.128589, 0.404364, 0.397687, 0.507214, 0, -0.0361352, 0.0305524, -0.485081, 0.0305524, 0.000366961, 0.0305524
0.920387, 0.375677, 0.128589, 0.404364, 0.18613, 0.507214, 0, 0.413082, 0.296763, 0.128589, 0.404364, 0.343959, 0.507214, 0, -0.00548641, 0.0230413, 0.234711, 0.0230413, -0.00382343, 0.0230413
